Date,HV_BULL,HV_BEAR,LV_BEAR,LV_BULL
2011-11-17,6.027112403199378e-28,1.0,8.312201887437579e-32,1.0694554992602508e-62
2011-11-18,2.4293156039172993e-25,1.0,2.540650731510284e-33,3.3060276883147487e-62
2011-11-21,7.974204026597466e-29,1.0,1.3174428096492046e-29,4.896554870002112e-59
2011-11-22,2.77825799935307e-26,1.0,1.457260924362041e-31,1.6791967493892313e-58
2011-11-23,2.0299168642412367e-32,1.0,8.362310202867968e-31,1.7415929452021416e-61
2011-11-25,1.4832603797947284e-26,1.0,2.7808788499844845e-32,2.3507466661554456e-54
2011-11-28,3.6119802652942375e-21,1.0,7.148860056187221e-31,1.930119568503721e-54
2011-11-29,3.518770581688585e-20,1.0,1.6180127739612502e-23,2.073482548010637e-46
2011-11-30,2.2288027906514738e-30,1.0,4.585429114148442e-34,5.735863155566393e-62
2011-12-01,9.172146269214449e-24,1.0,7.750207329266815e-38,4.786311249306104e-64
2011-12-02,4.691992344265175e-22,1.0,1.2633242618699422e-29,3.1535282227461233e-54
2011-12-05,4.448089675344098e-23,1.0,2.6308757722256075e-29,2.0011023929848915e-54
2011-12-06,3.074003859945879e-22,1.0,7.783029851245416e-29,3.7299842322561875e-54
2011-12-07,1.6745577665664125e-21,1.0,6.737719698761669e-27,6.122614064098002e-52
2011-12-08,1.2153414267083628e-23,1.0,5.711717180896691e-22,6.867910432817131e-46
2011-12-09,1.2964525522108308e-20,1.0,1.3376724172763337e-27,6.422222885656479e-51
2011-12-12,2.1918295464546356e-21,1.0,3.6288188577586364e-22,7.419894526382642e-46
2011-12-13,1.2332729533850422e-24,1.0,4.3068467092376e-23,1.214708170919492e-48
2011-12-14,2.301817711112935e-25,1.0,2.259246584226358e-26,4.577367485853301e-52
2011-12-15,3.048326892702249e-21,1.0,4.65180760951325e-27,1.3374419752176332e-50
2011-12-16,5.390165464474523e-20,1.0,5.145442681456225e-23,1.4288481824763153e-45
2011-12-19,3.153446851577269e-23,1.0,1.2415703523619097e-21,1.6500203957765753e-46
2011-12-20,1.3230404396810363e-22,1.0,5.614736602222506e-30,7.401342063334099e-55
2011-12-21,5.671966477801875e-22,1.0,4.676279711333099e-28,5.313208178270292e-53
2011-12-22,8.889796527037561e-20,1.0,7.0656878849021255e-25,1.3527489081318948e-46
2011-12-23,6.352190785786677e-18,1.0,1.0526264858135778e-21,8.860104441947192e-43
2011-12-27,1.824230955990189e-14,1.0,6.0224060818774285e-18,1.0811935565373591e-34
2011-12-28,9.00076349610359e-12,0.999999999990905,1.570422745541198e-14,2.9326428554240164e-34
2011-12-29,3.644645965394208e-05,0.9999635535398582,5.978693102325931e-14,5.159077261329936e-25
2011-12-30,0.0001437021578575202,0.9998553783111579,9.195310077417537e-07,1.3615577749085798e-18
2012-01-03,0.0016646671549408805,0.9983353075909951,2.5254102143596127e-08,4.93878608059411e-20
2012-01-04,0.006263744888094432,0.9937264867904286,9.768321801965343e-06,3.8647202121589676e-18
2012-01-05,0.04015969026828628,0.959836500140856,3.8095908821387204e-06,3.3160119290230896e-18
2012-01-06,0.1286192861569191,0.871187569248328,0.00019314459435945035,4.266922993426572e-17
2012-01-09,0.7923521899918382,0.2074135758164264,0.00023423419201217197,3.011968662527436e-14
2012-01-10,0.9865184726264573,0.013356204135014607,0.0001253232355442489,2.671639487502177e-12
2012-01-11,0.9987945521145494,0.0005806580893639585,0.0006247897290626036,6.723990083610801e-11
2012-01-12,0.9970929294538906,1.3379301578864309e-05,0.0028936592146629816,3.203014976978401e-08
2012-01-13,0.8907277668207378,1.8787393225163303e-06,0.10927013835226676,2.1608773264055575e-07
2012-01-17,0.9620909480659141,3.5371881689930356e-06,0.03790549651300551,1.8233230558228976e-08
